buyer_name,implementation_location_province,No,items_description,order_number,award_date,order_number_zar,supplier_name,procurement_method,Implementation_status
South African Social Security Agency (SASSA),KwaZulu-Natal,1,Emergency procurement of  5liters Sanitzers (32) and disposable hand gloves -30,"18763
18764",2020-03-18,26519.00,Uminathi EMS,"Emergency Procurement  method was used, complying to the Agency's SCM Delegations.","Delivered on 26 March 2020. This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
South African Social Security Agency (SASSA),KwaZulu-Natal,2,"Emergency procurement of  500ml Hand Sanitzers (400), 5l Hand Sanitizers (20) and 1l Hand Sanitizers -100",18767,2020-03-18,69000.00,Ukumhlophe Investment Trading,"Emergency Procurement  method Ukumhlophe Investment Trading was used, complying to the Agency's SCM Delegations.","Delivered on 26 March 2020. This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
South African Social Security Agency (SASSA),KwaZulu-Natal,3,"Emergency procurement of  500ml Hand Sanitzers (2100), 20L Hand Sanitizers (20), Disposable Gloves (2000) and Disposble Masks (5800)",18762,2020-03-18,656995.00,Sbonisiwe Investment,"Emergency Procurement  method was used, complying to the Agency's SCM Delegations.","Delivered on 26 March 2020. This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
South African Social Security Agency (SASSA),KwaZulu-Natal,4,"Emergency procurement of  500ml Hand Sanitzers (280), 100ml Hand Sanitizers (924), Surgical Gloves (51 boxes) and Disposble Masks (1280)",18765,2020-03-20,236127.00,Syahamba Trading Enterprise,"Emergency Procurement  method was used, complying to the Agency's SCM Delegations.","Delivered on 26 March 2020. This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
South African Social Security Agency (SASSA),KwaZulu-Natal,5,Disinfecting and Sanitizing of all SASSA Offices in KZN Region,"17733-14
17738-14
17727-14
17739-14
17737-14",2020-04-24,293634.69,Mthanti Construction and Projects,Scope expansion  in terms of sub- paragraph 9.1 of the National Treasury Instruction Note 3 or 2016/2017 Procurement  method was used and Agency's SCM Delegations.,Service was rendered fully
South African Social Security Agency (SASSA),KwaZulu-Natal,5,Disinfecting and Sanitizing of all SASSA Offices in KZN Region,"17728-14
17732-14
17729-15",2020-04-24,177338.76,Meondo Holdings (PTY) LTD,Scope expansion  in terms of sub- paragraph 9.1 of the National Treasury Instruction Note 3 or 2016/2017 Procurement  method was used and Agency's SCM Delegations.,Service was rendered fully
South African Social Security Agency (SASSA),KwaZulu-Natal,5,Disinfecting and Sanitizing of all SASSA Offices in KZN Region,17730-14,2020-04-24,45626.25,Elihlemsomi Trading,Scope expansion  in terms of sub- paragraph 9.1 of the National Treasury Instruction Note 3 or 2016/2017 Procurement  method was used and Agency's SCM Delegations.,Service was rendered fully
South African Social Security Agency (SASSA),KwaZulu-Natal,5,Disinfecting and Sanitizing of all SASSA Offices in KZN Region,17734-14,2020-04-24,105800.00,Samagaba Cleaning Services,Scope expansion  in terms of sub- paragraph 9.1 of the National Treasury Instruction Note 3 or 2016/2017 Procurement  method was used and Agency's SCM Delegations.,Service was rendered fully
South African Social Security Agency (SASSA),KwaZulu-Natal,5,Disinfecting and Sanitizing of all SASSA Offices in KZN Region,17731-14,2020-04-24,50197.50,Mtata Agricultural Co-operative (LTD),Scope expansion  in terms of sub- paragraph 9.1 of the National Treasury Instruction Note 3 or 2016/2017 Procurement  method was used and Agency's SCM Delegations.,Service was rendered fully
South African Social Security Agency (SASSA),KwaZulu-Natal,6,Emergency procurement of  Cloth Masks (4000),,2020-04-24,180000.00,Mandingozeli Primary Co-operative,"Emergency Procurement  method was used, complying to the Agency's SCM Delegations before National Treasury issued any Instruction notes,",Delivered on 6 May 2020.
South African Social Security Agency (SASSA),KwaZulu-Natal,7,Digital Body thermometer Infrared non contact (85) and clear shields (1000),18784,2020-05-27,367428.00,Ayanda ka Gatsheni Hardware cc,Normal procurement using 3 Ayanda ka Gatsheni Hardware cc quotations,Delivered May 2020
South African Social Security Agency (SASSA),KwaZulu-Natal,8,500ml -Sanitizer 70% alcohol bottle spray (1000) ;5ltr Liquid Sanitizers (900) and 500ml Gel hand sanitizers (3600); 500 N95 mask respirators.,18783,2020-05-27,1187373.91,Usuthu Group,"Emergency Procurement  method was used, complying to the Agency's SCM Delegations before National Treasury issued any Instruction notes,",Delivered in May 2020
South African Social Security Agency (SASSA),KwaZulu-Natal,9,Digital Body thermometer Infrared non contact (120),18773,2020-05-14,299460.00,Blue Sands Trading 982,Normal procurement using 3 Blue Sands Trading 982 quotations,Delivered in June 2020
