,,,,,,
,,,,,,
,No costs incurred related to PPE's,,,,,
,,,,,,
,Date of procurement,PPE procured,Company appointed,Company registration number,Value,Total Value
ASB,8-May-20,Infrared Themometer,Alphabet Soup,Quotations,"R1,897.00",
ASB,"
30-Jun-20",3 Ply face masks,Takealot (AfriSolar (Pty) Ltd),Quotations,R370.00,
ASB,Total,,,,"R2,267.00","R5,273.29"
FAIS,1-May-20,Cloth masks and digital thermometers,Masana Hygiene Services (Pty) Ltd ,2014/110265/07,"R23,768.02",
FAIS,5-Jul-20,Surgical masks,Dante SA (Pty) Ltd ,2014/000057/07,"R38,812.50",
FAIS,5-Jul-20,Aprons and face shields,Masana Hygiene,2014/110265/07,"R4,421.75",
FAIS,11-May-20,"Surgical gloves, stand-alone units and hand sanitizers.",Dante SA (Pty) Ltd ,2014/000057/07,"R57,149.25",
FAIS,12-May-20,"


Surgical masks",Vuma Furniture Projects (Pty) ,"



2006/019558/07","



R17,968.75",
FAIS,Total,,"



",,"R142,120.27","241,210.12"
FFC,27-May-20,"Cloth masks, surgical gloves, Infrared thermometers",K and Tau holdings ,2019/173605/07,"R10,800.00",
FFC,19-Mar-20,"70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand",FP Hygiene,2003/052276/23,"R14,679.75",
FFC,19-Mar-20,"70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand",FP Hygiene,"

2003/0522/23","R6,422.75","

"
FFC,Total,,,,"R31,902.50","R134,181.66"
FIC,12-Mar-20,Sanitiser Sprays,Meltar Projects,2018/255719/07,"R2,000.00",
FIC,24-Mar-20,Sanitiser Sprays,Meltar Projects,2018/255719/07,"R1,980.00",
FIC,16-Mar-20,Electronic Hand Sanitisers,Medical Innovations ,1967/002540/07,"R13,121.50",
FIC,19-Mar-20,Hand Sanitizer,Imtasa,2014/033602/07,"R83,145.00",
FIC,29-Mar-20,Hand Sanitizer,Sanichem,2005/025225/07,"R20,286.00",
FIC,29-Apr-20,514 x Cloth (rewashable) masks,Nkuriso,2015/303261/07,"R17,733.00",
FIC,29-Apr-20,4 x Infra-red thermometer,Nkuriso,2015/303261/07,"R11,500.00",
FIC,22-May-20,Face Shields,Buang M Trading ,2018/562687/07,"R30,753.45",
FIC,9-Jun-20,Additional Face shields & thermometers ,Buang M Trading ,2018/562687/07,"R7,027.70",
FIC,1-Jun-20,Electronic Sanitisers rental for 12 month,Cleaning Specialist t/a RND Amalgamated ,2014/192737/07,"R26,489.64",
FIC,Total,,,,"R214,036.29","R270,194.99"
FSCA,15-May-20,"Covid-19 items: cloth masks (3ply) - 2x per employee (for 7 employees), 1x 25 litre alcohol hand sanitizer ,  20x spary bottles (1litre),  5x all purpose wipes / cloths (100 sheets per roll),  1x digital body ",Masana Hygiene Services Masana (PTY)Ltd,Procurement from existing hygiene services contract," R9,193.00",
FSCA,15-May-20,4X Hand Sanitizer Dispenser and 44x hand foam Sanitizer refills,Masana Hygiene Services Masana (PTY)Ltd,Procurement from existing hygiene services contract,"R4,107.80",
FSCA,24-Mar-20,"100 boxes of disposable gloves (box of 100 pieces), 1 000 masks.",Masana Hygiene Services Masana (PTY)Ltd ,Procurement from existing hygiene services contract,"R92,409.40",
