 Region,Name of contractor,"Company Registration
 Number",Project,Quotation (ex VAT),Status
 Gauteng,Kenglo Holdings,2016/091143/07,"Deep Cleaning of Gauteng
 branches","R1,671,775.11",Done
 EC,LNV Logistics cc,2008/077869/23,Deep Cleaning of EC branches,"R2,017,280.56",Done
 Central,FP Hygiene,2003/052276/23,"Deep Cleaning of Central Region
 branches","R538,046.25",Done
 Central,SRY,2005/119639/23,"Deep Cleaning of Central Region
 branches","R247,558.26",Done
 Central,Phiritona Holdings,2014/116485/07,"Deep Cleaning of Central Region
 branches","R553,346.50",Done
 Central,Five Active Minds,201001148824/23,"Deep Cleaning of Central Region
 branches","R93,493.60",Done
 Central,AK Distributors,1993/070269/07,"Deep Cleaning of Central Region
 branches","R21,027.75",Done
 WC,Lasaka Group,2014/007544/07,Deep Cleaning of WC branches,"R1,410,848.76",Done
 KZN,Kenglo Holdings,2016/091143/07,Deep Cleaning of KZN buildings,"R852,000.00",Done
 KZN,FP Hygiene,2003/052276/23,Deep Cleaning of Durmail,"R177,100.00",Done
 North,Staza,2001/040795/23,"Deep Cleaning of Northern
 Region buildings","R240,707.22",Done
 North,FP Hygiene,2003/052276/23,"Deep Cleaning of Northern
 Region buildings","R236,790.89",Done
 North,"SRY Environmental Pest
 Control and Project",2005/119639/23,"Deep Cleaning of Northern
 Region buildings","R353,694.16",Done
 KZN,Tsebo Cleaning Solutions,2016/224394/07,"Deep Cleaning and
 Decontamination of Durmain","R107,700.00",Done
 EC,Supercare,1985/060217/07,Decontamination,"R92,000.00",Ongoing
 WC,Supercare,1985/060217/07,Decontamination,"R39,500.00",Done
 WC,Intsika,2017/302094/07,Decontamination,"R12,402.00",Done
 Northern,Staza and SRY Environmental,(2e0s0t 1C/o0n4t0ro7l9 a5n/2d3 P) rojects,Decontamination,"R8,500.00",Done
 Northern,SRY Environmental Pest Contr,(l2 a0n0d5 /P1r1o9je6c3t9s/23),Decontamination,"R11,132.34",Done
 NPC,Staza Cleaning Service,2001/040795/23,Decontamination,"R2,709.00",Done
 NPC,Supercare,,Decontamination,"R16,200.00",Done
