buyer_name,supplier_name,company_registration_number,order_amount_zar,items_description,invoice_date,procurement_method
Department of International Relations and Cooperation (DIRCO),Lechoba Medical Technologies,2005/044442/07,121502.10,Hand Sanitizers,2020-03-26,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),NJU Projects & General Trading ,2018/297547/07,63000.00,Body Temperature Thermal Cameras ,2020-06-08,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Flamingo Moon Trading ,2004/020790/07,23460.00,Face Masks ,2020-05-13,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Esizwe Group ,2003/084491/23,5088.00,Comfort Face Shields ,2020-05-20,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Fortistle ,2018/472346/07,48875.00,Face Masks ,2020-05-28,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Tara Healthcare ,2019/237077/07,22450.00,Gloves ,2020-07-27,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Ayanda Multiserve,2016/347219/07,22500.00,Comfort Face Shields ,2020-06-11,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Yellotec ,2013/231556/07,2591.88,Body Temperature Thermal Cameras ,2020-07-23,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Motlokwa & Farm Holdings ,2016/219919/07,1100.00,Spray Bottles (empty) ,2020-06-11,Request for Quotation 
Department of International Relations and Cooperation (DIRCO),Multisurge ,2014/170364/07,13800.00,Disinfection Chemical ,2020-06-04,Request for Quotation 
