buyer_name,No.,implementation_location_other,supplier_name,items_description,Unit Pice,cost_per_unit_zar,items_quantity,order_amount_zar,"Indicate: Normal process or
Deviation",Order date,invoice_date,company_registration_number
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",1,National,Coviarant Consulting,"Appointment of a Service Provider to Supply and Deliver
PPE (17 000 Parameter Tapes) for Department of
Agriculture, Rural Development and Land Reform","R                            26,87",26.87,17000,443478.15,Deviation,20/05/2020,2020-05-20,2014/075830/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",2,National,Coviarant Consulting,"Appointment of a Service Provider to Supply and Deliver
PPE (2000 Distance Markers) for Department of
Agriculture, Rural Development and Land Reform","R                            17,39",17.39,2000,34782.60,Deviation,20/05/2020,2020-05-20,2014/075830/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",3,National,Ntsako Lethabo Trading,"Appointment of a Service Provider to Supply and Deliver
PPE (260 Digital Thermometers) for Department of
Agriculture, Rural Development and Land Reform","R                       1 913,00",1913.00,260,571987.00,Deviation,20/05/2020,2020-05-20,"2016/311523/07
2015/032834/07"
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",4,National,Imperatrix,"Appointment of a Service Provider to Supply and Deliver
Touchless Dispenser for Department of Agriculture, Rural
Development and Land Reform","R                          900,00",900.00,260,234000.00,Normal Process,26/05/2020,2020-05-26,2019/428581/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",5,National,Imperatrix,"Appointment of a Service Provider to Supply and Deliver
Touchless Dispenser 500ml empty bottles for Department
of Agriculture, Rural Development and Land Reform","R                            28,00",28.00,520,14560.00,Normal Process,26/05/2020,2020-05-26,2019/428581/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",6,National,Saferight Group,"Appointment of a Service Provider to Supply and Deliver
Face Shields for Department of Agriculture, Rural
Development and Land Reform","R                            38,00",38.00,2000,76000.00,Normal Process,04/06/2020,2020-06-04,2014/008029/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",7,National,Coviarant Consulting,"Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            20,43",20.43,27000,551739.06,Deviation,27/05/2020,2020-05-27,2014/075830/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",8,National,Coviarant Consulting,"Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks (Branding) for Department of
Agriculture, Rural Development and Land Reform","R                            16,52",16.52,27000,446086.71,Deviation,27/05/2021,2021-05-27,2014/075830/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",9,National,"Elyon Designs Primary Co-
Operative Limited","Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            24,00",24.00,10000,240000.00,Deviation,27/05/2020,2020-05-27,2017/010776/24
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",10,National,"Elyon Designs Primary Co-
Operative Limited","Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks (Branding) for Department of
Agriculture, Rural Development and Land Reform","R                            19,00",19.00,10000,190000.00,Deviation,27/05/2020,2020-05-27,2017/010776/24
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",11,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
5L Sanitizer for Department of Agriculture, Rural
Development and Land Reform","R                          465,00",465.00,1000,465000.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",12,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
5L Sanitizer for Department of Agriculture, Rural
Development and Land Reform","R                          465,00",465.00,450,209250.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",13,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
5OOml bottles for Department of Agriculture, Rural
Development and Land Reform","R                            70,00",70.00,116,8120.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",14,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
Latex Gloves for Department of Agriculture, Rural
Development and Land Reform","R                            62,00",62.00,200,12400.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",15,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
Masks for Department of Agriculture, Rural Development
and Land Reform","R                            42,50",42.50,100/20 in a box 5,4250.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",16,National,Hulisani Consulting,"Appointment of a Service Provider to Supply and Deliver
1L bottles for Department of Agriculture, Rural
Development and Land Reform","R                            88,00",88.00,35,3080.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
