DEPARTMENT,SUPPLIER NAME,ITEM DESCRIPTION,"PAYMENT
QUANTITY","UNIT OF
MEASURE",UNIT PRICE,TOTAL (R)
Health,PRO-PRINT,Posters,"2,000",Each,11.8,"23,600.00"
Health,PRO-PRINT,Pamphlets,"10,000",Each,0.9,"9,085.00"
Health,PRO-PRINT,Posters,"12,500",Each,9.17,"114,687.50"
Health,BOKAMOSO TRADING ENTERPRISE,Posters,"25,000",Each,13.6,"340,000.00"
Health,ASIJIKI SOUNDBYTES,Aprons,"180,000",Each,0.74,"133,200.00"
Health,ASIJIKI SOUNDBYTES,Disposable Gowns (Large & Extra Large),"100,000",Each,127.5,"12,750,000.00"
Health,ASIJIKI SOUNDBYTES,Goggles,"10,000",Each,51.74,"517,400.00"
Health,ASIJIKI SOUNDBYTES,Infra-Red Thermometer,300,Each,1725,"517,500.00"
Health,MACRONYM 37,Surgical Masks,"250,000",Each,13.8,"3,450,000.00"
Health,MACRONYM 37,FFP2/3 Or N95,"250,000",Each,36.8,"9,200,000.00"
Health,MACRONYM 37,Coveralls,"50,000",Each,286.2,"14,310,025.00"
Health,C MED SUPPLIES,Surgical Masks,"200,000",Each,17.89,"3,578,000.00"
Health,C MED SUPPLIES,FFP2/3 Or N95,"30,000",Each,81.82,"2,454,600.00"
Health,C MED SUPPLIES,Coveralls,"2,000",Each,201.25,"402,500.00"
Health,C MED SUPPLIES,Hand Sanitisers,"5,000",Each,74.75,"373,750.00"
Health,C MED SUPPLIES,Goggles,"1,000",Each,37.95,"37,950.00"
Health,C MED SUPPLIES,Disposable Gowns (Large),"5,000",Each,94.49,"472,450.00"
Health,C MED SUPPLIES,Disposable Gowns (Extra Large),"5,000",Each,97.49,"487,450.00"
Health,C MED SUPPLIES,Facial Shields,"1,000",Each,74.99,"74,990.00"
Health,C MED SUPPLIES,Infra-Red Thermometer,100,Each,"1,892.94","189,294.00"
Health,REVOLT HEADBOY,Surgical Masks,"240,000",Each,12.28,"2,947,200.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Hand Sanitizer Not Less Than 70% Alcohol Based.,50,5L,430,"21,500.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Surgical Masks,"1,200",Each,25,"30,000.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Examination Gloves - Non,30,Box of 100,260,"7,800.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Anti Bacterial Wet Wipes,100,Box of 100,48,"4,800.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Hand Soap,50,5L,105,"5,250.00"
"Sport, Arts and Culture",SHAUN WAYNE BARNES T/A S&R ENTERPRISES,Supply And Delivery Of Spirits,500,200ml,100,"50,000.00"
"Sport, Arts and Culture",SHINE THE WAY,Supply And Delivery Of 1800 Quantities Of 3 Layer Facemasks - DTIC,"1,800",Each,25,"45,000.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,Supply And Delivery Of Hand Soap.,60,5L,120,"7,200.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,Supply And Delivery Of Hand Sanitizer Not Less Than 70% Alcohol Based.,60,5L,320,"19,200.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,Supply And Delivery Of Empty 500 Ml Bottles,"1,200",500ml,20,"24,000.00"
"Sport, Arts and Culture",VERITY PROJECTS AND TRADING,Supply And Delivery Of Digital Thermometers,20,Each,875,"17,500.00"
"Sport, Arts and Culture",VERITY PROJECTS AND TRADING,Supply And Delivery Of Surface Wipes,600,Box of 100,65,"39,000.00"
COGHSTA,BLUE PETROLEUM,"Towel, Paper Per Roll",10,Each,24,240.01
COGHSTA,BLUE PETROLEUM,Gloves Yellow Medium household Heavy Duty,6,Each,8,48.01
COGHSTA,BLUE PETROLEUM,Alcohol Sanitiser And Disinfectant 20lt COVID 048,20,Litre,79.99,"1,599.99"
COGHSTA,BLUE PETROLEUM,Bottle Spray 500ml Covid 054,6,Each,37.99,227.97
COGHSTA,BLUE PETROLEUM,"Shield,Medical Visor Covid 036",10,Each,44,440
COGHSTA,UC CHEMICAL & CLEANING,Soap Hand & Body,50,Each,12.5,625
COGHSTA,UC CHEMICAL & CLEANING,Bottle Spray 250ml Covid 053,20,Each,25,500
COGHSTA,BLUE PETROLEUM,Bottle Spray 500ml Covid 054,6,Each,37.99,227.97
COGHSTA,JLK BUSINESS CONSULTING,Soap Hand 125g,300,Each,18.4,"5,520.00"
COGHSTA,JLK BUSINESS CONSULTING,Bottle Spray 500ml Covid 054,300,Each,22.42,"6,727.50"
COGHSTA,ZULEIKAS DESIGN,"Mask,Medical Covid 030",300,Each,35,"10,500.00"
COGHSTA,BLUE PETROLEUM,Alcohol Sanitiser And Disinfectant 5lt Covid 047,8,Each,305,"2,440.00"
COGHSTA,KEVKUT CONSULTING,"Mask,Medical Covid 030",60,Each,45,"2,700.00"
COGHSTA,KATHARISMA GENERAL SUPPLIERS,Gloves Rubber Multi Purpose,50,Each,20,"1,000.00"
COGHSTA,KATHARISMA GENERAL SUPPLIERS,Bottle Spray 250ml Covid 053,30,Each,25,750
COGHSTA,KATHARISMA GENERAL SUPPLIERS,Bottle Spray 500ml COVID 054,6,Each,29,174
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Soap Hand Wash Liquid,852,Each,90,"76,680.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,"Mask,Dust Box 20",70,Box,35,"2,450.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Antibacterial Spray Sanitizer,910,Two hundred & fifty,210,"191,100.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Antibacterial Spray Sanitizer,560,Two hundred & fifty,246,"137,760.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Gloves Latex Powdered Large Box 100,7,Box,550,"3,850.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Soap Hand Wash Liquid,366,Each,90,"32,940.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,"Mask, Dust Box 20",30,Box,35,"1,050.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Antibacterial Spray Sanitizer,390,Two hundred & fifty,210,"81,900.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Antibacterial Spray Sanitizer,240,Two hundred & fifty,246,"59,040.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Gloves Latex Powdered Large Box 100,3,Box,550,"1,650.00"
COGHSTA,JPD BUSINESS ENTERPRISE,"Mask, Medical COVID 030",703,Two hundred & fifty,68,"47,804.00"
COGHSTA,KIDS SPORTSWEAR,"Mask, Medical COVID 030",730,Two hundred & fifty,46,"33,580.00"
COGHSTA,SHAUN WAYNE BARNES,Sanitizer Detergent 5 Lt,1,Two hundred & fifty,"82,000.00","82,000.00"
COGHSTA,R D T GENERAL TRADING,Gloves Gloves,1,Each,360,360
COGHSTA,R D T GENERAL TRADING,"Mask, Medical COVID 030",20,Two hundred & fifty,50,"1,000.00"
COGHSTA,OMPHEMETSE KAMOHAU ENTERPRISES AN,"Dispenser, Paper Towel Economy Floor Stand - Jumbo
Paper Towel Rolls",25,Two hundred & fifty,765,"19,125.00"
COGHSTA,OMPHEMETSE KAMOHAU ENTERPRISES AN,"Shield, Medical Face Frames Sf2511",200,Two hundred & fifty,60,"12,000.00"
COGHSTA,OMPHEMETSE KAMOHAU ENTERPRISES AN,"Towel, Paper",62,Pack or packet,340,"21,080.00"
COGHSTA,KEMOAGILE CONSTRUCTION MANAGEMENT,Apron Large,1,Two hundred & fifty,"7,400.00","7,400.00"
Social Development,I MOTLEKAR T/A AUTO RACE CAR WASH,"60x 5lt OF SANITIZER,40x 500ml SPRAY BOTTLE SANITIZER, 60x 100 BOX OF GLOVES SANITIZER, 60x 100 BOX OF GLOVES",60,5 litre 70% Alcohol sanitiser,650,"56,800.00"
Social Development,I MOTLEKAR T/A AUTO RACE CAR WASH,60 X Boxes Of Gloved (100 Gloves Per Box),60,Price per box of gloves,180,-
Social Development,DNS SUPPLIES,Hand Sanitizer For DSD Officials 400 X 5l,400,,747.5,"299,000.00"
Social Development,"PRICESMART TECHNOLOGIES
CC/CALTEX LENNOX",700x SURGICAL MASKS,700,3 ply surgical masks per mask,27,"18,917.50"
Social Development,DNS SUPPLIES,Supply And Deliver Of 100 Infrared Thermometers,100,A unit of a thermometer,"1,955.00","199,525.00"
Social Development,OXIRON TRADING,Surgical Masks For Provincial Officials,"8,000",3 ply surgical masks per mask,11.5,"57,500.00"
Social Development,MAGIC ENTERPRISES,2000 3 Ply Surgical Masks,"2,000",1 unit of 3 ply surgical masks,30,"66,000.00"
Social Development,MAGIC ENTERPRISES,30 Boxes Of Hand Gloves Latex Free,30,1 Box 100 gloves per box,200,-
Social Development,LORATO CREATIONS,3600x FABRIC FACE MASKS,"3,600",Price per mask,"R30 X 1300
R23 X 2600.","98,800.00"
Social Development,NDZ DEVELOPMENTS,1400 Plastic Face Shields,"1,400",Price per face shield (Visors),60,"84,000.00"
Social Development,ASIJIKI SOUNDBYTES,10 000 Face Masks For Officials,10000,Price per mask,30,"300,000.00"
Social Development,AUTO RACE,5 000 Face Masks For Officials,5000,Price per mask,28.5,"142,500.00"
Economic Development,MHLANGA TOURS,Alcohol Based Hand Sanitizer,600 units,500ml,155.25,-
Economic Development,MHLANGA TOURS,Dettol Hand Wash,49 units,500ml,97.75,-
Economic Development,MHLANGA TOURS,Alcohol Based Hand Sanitizer,33 units,1L,310.5,-
Economic Development,MHLANGA TOURS,Wipes,300 units,40 wipes per packet,115,-
Economic Development,MHLANGA TOURS,Paper Towel,10 units,205*1500M + 1L Sanitizer,"1,650.25",-
Economic Development,MHLANGA TOURS,Glove Nitrile,32 Boxes,100 Per box,276,"168,020.25"
Economic Development,NCRF NORTHERN CAPE,Coronavirus Covid-19 Interview,,7 radio station,,"30,000.00"
Economic Development,MHLANGA TOURS,Alcohol Based Hand Sanitizer,200 units,500ml,155.25,-
Economic Development,MHLANGA TOURS,N95 Masks,400 units,masks,57.5,-
Economic Development,MHLANGA TOURS,Glove Nitrile,8 Boxes,100 per box,276,"56,258.00"
Economic Development,CALSIM CONSORTIUM,Screening Thermometers,35,,"1,820.00","63,700.00"
Economic Development,FROST CO,Covid 19 Refil Fund Info Pamphets,"100,000",,4.6,"460,000.00"
Economic Development,EVERS XCELLENCE MANAGEMENT,Masks Project,Production of masks,,"264,000.00","264,000.00"
Environment and Nature Conservation,IZINDWE MARKETING,Face Masks;  Gloves,30 boxes;,,,"69,800.00"
Environment and Nature Conservation,KIMBERLEY HANDYMAN,Sanitiser 70% Alcohol;  Trigger Spray Bottles,30 X 5Lt,,,"115,625.00"
Environment and Nature Conservation,JAY LESEDI TRADING ENTERPRISE CC,Catering For Provincial Joint Committee (Provjoc),70,,,"11,200.00"
Environment and Nature Conservation,IKOMKHULU INTEGRATED RESOURCES,Procurement Of Food Parcels For Waste Pickers At Sol Plaatje Landfill Due To COVID-19,50,,,"41,297.00"
Environment and Nature Conservation,LEBETSA TRADING (PTY) LTD,Face Masks,500,,,"27,500.00"
Environment and Nature Conservation,BEYOND TRADE ENTERPRISE (PTY) LTD,Procurement Of Food Parcels For Waste Pickers At Sol Plaatje Landfill Due To COVID-19,50,,,"45,000.00"
Environment and Nature Conservation,TEMA INVESTMENT (PTY) LTD,Procurement Of Digital Thermometers,6,,,"10,800.00"
Environment and Nature Conservation,MASEDI STAR,Sanitiser Detergent 750ml,12,,,"22,569.21"
Environment and Nature Conservation,SECHABA STATIONERIES (PTY) LTD,Sanitiser Gel 70% Alcohol,20 X 5Lt,,,"9,900.00"
Environment and Nature Conservation,SHINE THE WAY 649,3 Layer Cloth Face Masks,500,,,"12,500.00"
Environment and Nature Conservation,365 LEGACY ENTERTAINMENT,Surface Sanitiser 70% Alcohol,30,,,"10,500.00"
Environment and Nature Conservation,Goodies gadget galore,Procurement Of Infrared Thermometers,6,,,"5,100.00"
Environment and Nature Conservation,SKEMA COMMUNICATION SOLUTIONS,Procurement Of Hand Wash Soap,30,,,"14,751.90"
Environment and Nature Conservation,ETERNAL CITY TRADING 664,3 Layer Cloth Face Masks,1000,,,"22,000.00"
Education,SPLENDOUR TRADING&PROJECTS,25lt Hand Sanitizers,350,25LT,"1,750.00","612,500.00"
Education,JOSMEL GENERAL TRADING,25lt Hand Sanitizers,350,25LT,"1,189.00","416,150.00"
Education,LE-AFRIQUE HOLDINGS,25lt Hand Sanitizers,350,25LT,"1,423.68","498,287.50"
Education,INHLAMVU PROJECTS&SERVICES,25lt Hand Sanitizers,350,25LT,"1,500.00","525,000.00"
Education,RAMSY HOLDINGS,25lt Hand Sanitizers,350,25LT,"1,300.00","455,000.00"
Education,MMG CONSULTING,25lt Hand Sanitizers,10,25LT,"1,850.00","18,500.00"
Education,THE EYE NORTHERN CAPE,Fabric Face Mask-3 Layers,"3,000",Each,25,"75,000.00"
Education,IPOPENG TRADING ENTERPRISE,Fabric Face Mask-3 Layers,"30,000",Each,20,"600,000.00"
Education,MATS BROTHERS,Fabric Face Mask-3 Layers,"30,000",Each,13.2,"396,000.00"
Education,RAFF KAHDER CONSTRUCTION,Fabric Face Mask-3 Layers,"30,000",Each,19,"570,000.00"
Education,GALLANT BUSINESS SOLUTIONS,Fabric Face Mask-3 Layers,"30,000",Each,20.5,"615,000.00"
Education,ASIJIKI SOUND BYTE,Fabric Face Mask-3 Layers,"30,000",Each,24.8,"744,000.00"
Education,LAPA LAKA TRADERS,Fabric Face Mask-3 Layers,"30,000",Each,22,"660,000.00"
Education,ZAHOEK TRADING,Fabric Face Mask-3 Layers,"30,000",Each,23,"690,000.00"
Education,KING OF EMPERORS,Fabric Face Mask-3 Layers,30000,Each,25,"750,000.00"
Education,SHIREWAY PROJECTS,Fabric Face Mask-3 Layers,"30,000",Each,23.8,"714,000.00"
Education,OXICON TRADING,Fabric Face Mask-3 Layers,"30,000",Each,16.5,"495,000.00"
Education,DISKONTO TRADING,Fabric Face Mask-3 Layers,"30,000",Each,22,"660,000.00"
Education,EXACTUS 24 TRADING,Fabric Face Mask-3 Layers,"30,000",Each,23.48,"704,400.00"
Education,AMADWALA TRADING,Fabric Face Mask-3 Layers,"30,000",Each,24,"720,000.00"
Education,INHLAMVU PROJECTS&SERVICES,Fabric Face Mask-3 Layers,"30,000",Each,24.5,"735,000.00"
Education,BAITX JUBILEE,Fabric Face Mask-3 Layers,"30,000",Each,17,"510,000.00"
Education,GAOLATLHE SUPPLIERS,Fabric Face Mask-3 Layers,"30,000",Each,22,"660,000.00"
Education,THATABETSWE TRADING&INVEST,Fabric Face Mask-3 Layers,"30,000",Each,21,"630,000.00"
Education,SOUTH HILL TRADING,Fabric Face Mask-3 Layers,"30,000",Each,22.89,"686,550.00"
Education,PEO ENTLE,Fabric Face Mask-3 Layers,"30,000",Each,21.5,"645,000.00"
Education,RISHVA LOGISTICS,Fabric Face Mask-3 Layers,"3,660",Each,22.47,"82,250.00"
Education,CAREY GROUP,Visors/(Face Shields),"6,020",Each,35,"210,700.00"
Education,KATLEGO TRADING,Visors/(Face Shields),"6,020",Each,30.01,"180,660.00"
Education,INOVETEX,Visors/(Face Shields),"6,020",Each,40,"240,800.00"
Education,INNO SUPPLY SUPPLY&DELIVERY,Visors/(Face Shields),"6,020",Each,49.5,"297,990.00"
Education,TSHIAMELO CORPORATION,Visors/(Face Shields),"6,020",Each,49.99,"300,939.80"
Education,CLASSICAL JAZZY NOTE,Digital Thermometers,128,Each,"1,500.00","192,000.00"
Education,PAPRENAX EXCEPTIONAL,Digital Thermometers,320,Each,"1,380.00","441,600.00"
Education,ALL IN SOLUTIONS,Digital Thermometers,320,Each,"1,100.00","352,000.00"
Education,RIMA SOLUTIONS,Digital Thermometers,320,Each,"1,200.00","384,000.00"
Education,NC PRINTING&STATIONERY,Digital Thermometers,320,Each,"1,560.00","499,200.00"
Education,CHEKKART AGENCIES,Digital Thermometers,320,Each,"1,400.00","448,000.00"
Education,KOPANANG WOMEN ENTERPRISE,Digital Thermometers,320,Each,"1,200.00","384,000.00"
Education,LERONTI PROJECT AND GENERAL,Digital Thermometers,320,Each,"1,299.00","415,680.00"
Education,MIRACLUS TRADING,Heavy Duty Plastic Bags,100,5 in a pack,,"11,200.00"
Education,CLAN SECURITIES,Heavy Duty Plastic Bags,"2,127",200 in pack,,"361,590.00"
Education,CLT ENTERPRISE,Surgical Gloves,"3,147",Per box of 100,189,"594,783.00"
Education,MIRACLUS TRADING,Surgical Gloves,20,Per box of 100,110,"2,200.00"
Education,BAIKANYEGI TRADING,PVC Aprons,"1,630",Each,225,"366,750.00"
Education,TS CREATIONS,PVC Aprons,"1,630",Each,236.56,"385,600.00"
Education,DISKONTO TRADING,25 Lt Hand Liquid Soap,659,Each,299.9,"197,634.10"
Education,LUKHANYISILE DEVELOPMENT,25 Lt Hand Liquid Soap,659,Each,360,"237,240.00"
Education,ATNOZA TRADING,25 Lt Hand Liquid Soap,659,Each,350,"230,650.00"
Education,MIRACLUS TRADING,25 Lt Hand Liquid Soap,659,Each,410,"270,190.00"
Education,EXCELLENCE KEEPIN,25 Lt Hand Liquid Soap,659,Each,425,"280,075.00"
Education,TRADI EXCELLENCE,25 Lt Hand Liquid Soap,149,Each,427,"63,623.00"
Education,MMG CONSULTING,25 Lt Hand Liquid Soap,10,Each,678.01,"6,780.05"
Education,TLKZ OPTIMUM,Soap Dispensers,831,750ml,33.34,"27,704.29"
Education,RAFF KHADER CONSTRUCTION,Soap Dispensers,831,750ml,42.5,"35,317.50"
Education,E ATILE MED SUPPL,Soap Dispensers,831,750ml,79.21,"65,825.00"
Education,CLASSICS OF KIMBERLEY,Soap Dispensers,831,750ml,44.8,"37,228.00"
Education,MMG CONSULTING,Soap Dispensers,500,1lt,89.83,"44,915.55"
Education,BAIKANYEGI TRADING,Spray Bottles,"9,110",1lt,38.5,"350,735.00"
Education,BAN MOS(PTY)LTD,Liquid Soap 25lt,142,25lt,365,"51,830.00"
Education,BAN MOS(PTY)LTD,25lt Hand Sanitizers,142,25lt,"1,035.00","146,970.00"
Education,BAN MOS(PTY)LTD,Pine Gel 25lt,142,25lt,428.5,"60,847.00"
Education,THATABETSWE TRADING&INVEST,Jeyes Fluid,213,5LT,150,"31,950.00"
Education,THATABETSWE TRADING&INVEST,Anti-Bacteria Soap 100g,"14,200",Each,7,"99,400.00"
Education,THATABETSWE TRADING&INVEST,Cleaning Fabric Cloth,710,Packet of 50,19,"13,490.00"
Education,THATABETSWE TRADING&INVEST,Soap Dispensers,710,1lt,37,"26,270.00"
Education,THATABETSWE TRADING&INVEST,Spray Bottles,710,1lt,38,"26,980.00"
Education,THATABETSWE TRADING&INVEST,Toilet Paper Single Ply,355,1 Bale,235,"83,425.00"
Education,CHARLES WELDING WORKS,Wetwipes,910,Pack of 64,44.33,"40,340.30"
Education,BLACK ENTERPRISE ENTERPRENEUR,Wetwipes,"4,680",Pack of 100,6.49,"30,350.00"
Education,NC MAINTENANCE,Wetwipes,910,Pack of 100,55,"50,050.00"
Education,AAA TRADING,Wetwipes,910,Pack of 100,71.7,"65,250.00"
Education,NJ WELDING WORKS,Wetwipes,910,Pack of 100,51.75,"47,092.50"
Education,PHINZI TRADING&PROJECTS,Wetwipes,"4,680",Pack of 100,80,"374,400.00"
Education,KONOPO FAMILY BUSINESS,Wetwipes,"4,680",Pack of 100,75,"351,000.00"
Education,ABM ENTERPRISE,Wetwipes,"4,680",Pack of 100,58,"271,440.00"
Education,WOTEX INVESTMENTS,Wetwipes,900,1000 in a bucket,312,"280,800.00"
Education,ILC TRADING AND PROJECTS,Large Plastic Funnels,562,Each,52,"29,224.00"
"Transport, Safety and Liaison",OLTA,Hand Sanitizer 5l,266 x 5 Litres,Litres,760,"202,160.00"
"Transport, Safety and Liaison",OLTA,Hand Sanitizers 1l,150 x 1 Litres,Litres,180,"27,000.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Hand Sanitizer 25l,17 x 25 Litres,25Liters,"1,750.00","29,750.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Disinfectant Liquid Soap 10L,20 x 10 Litres,10Liters,"1,080.00","21,600.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Disinfectant  25L,17 x 25 Litres,25Liters,"1,700.00","28,900.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Liquid Soap,5 Small Bottles,,64,320
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Fogger Cans,"1,200 Cans of 400ml",400ml cans,"2,388.00","238,800.00"
"Transport, Safety and Liaison",KENOSI,Sani-Touch Wipes,600 tubs,Unit,212.75,"127,650.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Alcohol Wipes,50 tubs,Unit,117,"5,850.00"
"Transport, Safety and Liaison",A-Z TRADING,Cavi Wipes,600 tubs,Unit,240,"144,000.00"
"Transport, Safety and Liaison",MODISA TRADING,Hand Towels,35,Box 200 sheet,490,"17,150.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Paper Towels,2,Box 200 sheet,294,588
"Transport, Safety and Liaison",KENOSI,Mask (Province),220 Masks,Units,46,"10,120.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Mask (District),150 Masks,Units,35,"5,250.00"
"Transport, Safety and Liaison",ROYAL BAFOKENG,Mask 3 Layer Face Mask (Traffics),280 Masks,Units,45,"12,600.00"
"Transport, Safety and Liaison",MODISA TRADING,Cloth Mask,106,Units,20,"2,120.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,30 Small Boxes,Boxes,,"5,370.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,10 Medium boxes,Boxes,,"1,790.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,100 Pairs,Pairs,,"4,500.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Desk Screens,30,Units,"1,600.00","48,000.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Facial Screens,40,Units,47,"1,880.00"
"Transport, Safety and Liaison",KENOSI,Thermometers,20,Units,"2,070.00","41,400.00"
"Transport, Safety and Liaison",BY DESIGN TRADING,Thermometers,10,Units,"1,555.80","15,558.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Led Torchers,51,Units,"1,200.00","61,200.00"
"Transport, Safety and Liaison",SWIFT PRINT,Reflective Sign Floor Sticker,150,Units,30,"13,000.00"
"Transport, Safety and Liaison",SWIFT PRINT,Reflective Sign Strip,200,Units,12,110
"Transport, Safety and Liaison",MAYBERG MANAGEMENT,Spray Bottle,400,Units,,"10,800.00"
"Transport, Safety and Liaison",IGM TRADING,Batteries,25,4 Pack,55,"1,375.00"
Agriculture,SA FAST TRADING AND PROJECTS,"Particulate Respirator, Grade KN95",50,1,40,"2,000.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser 1lt,18,,280,"5,040.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),5,,"4,480.00","22,400.00"
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),5,,"3,800.00","19,000.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitising Wipes(100pk),32,,55,"1,760.00"
Agriculture,NAMOLO GENERAL TRADING,Disposable Masks(50pk),480,,11.46,"5,500.00"
Agriculture,TEMA INVESTMENTS (PTY) LTD,Fabric Masks (50pk),"1,250",,45.6,"57,000.00"
Agriculture,NAMOLO GENERAL TRADING,Surgical Gloves,275,,10.47,"2,880.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),31,,"4,498.06","139,440.00"
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),25,,"3,800.00","95,000.00"
Agriculture,NAMOLO GENERAL TRADING,"Bottles,Nozzle Spray (500ml)",250,,38,"9,500.00"
Agriculture,MATLHOMOLA TRADING,Digital Thermometers(1),40,,"1,882.50","75,300.00"
Agriculture,NOSARITI BUSINES ENTERPRISE,Perspex Sneeze Protector Screens,80,,"1,687.50","135,000.00"
Agriculture,M HOOSAIN CONSULTING,Digital Thermometers(1),49,,"1,267.35","62,100.00"
Agriculture,OMPHEMETSE KAMOHAU ENT,"Signage, Directional Floor Stickers",330,,87.8,"28,974.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),40,,"1,375.00","55,000.00"
