buyer_name,implementation_location_province,implementation_locatin_other,items_description,supplier_name,company_registration_number,procurement_method,order_number,ORDER DATE,invoice_date,UNIT OF MEASURE,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Free State,GOEDEMOED,Gloves surgical  (each),Evergreen Latex,2002/057771/23,RT 76-2019,GDM 445,18/03/2020,2020-03-18,Each Pair,"4,000",1.56,6240.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Hand sanitizer,Barrs Pharmace,2012/056577/07,RT300,GDM434,19/03/2020,2020-03-19,each,"2,000",16.41,32820.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Temperature Scanner,East View Trading,2007/116803/23,Quotation,GDM442,3/20/2020,2020-03-20,Each,5,1890.00,9450.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Mask N95 (each),Lechoba Medical Technology,2005/044442/07,RT 32-2019,GDM433,3/20/2020,2020-03-20,Each,"5,000",18.75,93750.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Sanitizer  Hand (Per litre),Tripple N Medical Distributions,2011/129850/07,RT 300,GDM435,3/20/2020,2020-03-20,Litre,"2,000",84.33,168660.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Disposable Gown,ARG Technologies,2017/162066/07,RT 32-2019,GDM436,3/20/2020,2020-03-20,Each,"2,000",75.00,150000.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Full face shield (Protective goggles ),ARG Technologies,2017/162066/07,RT 32-2020,GDM444,3/21/2020,2020-03-21,Each,850,28.00,23800.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Over shoe non woven (single use),Medical International,2007/023366/23,RT 32-2019,GDM447,3/25/2020,2020-03-25,Each,100,19.23,1923.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Non Sterile Golves,Evergreen Latex,2002/057771/23,RT 76-2019,GDM445,3/18/2020,2020-03-18,Each,"4,000",1.56,6240.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Sleeve protector (single use),Medi-Core Technologies,2013/198711/07,RT 32-2019,GDM448,3/25/2020,2020-03-25,Each,"10,000",0.22,2200.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,boot covers,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,2020-04-21,bov,50,1.30,6500.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,digital thermometers,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,2020-04-21,each,10,1888.50,18885.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,biohazard bags,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,2020-04-21,each,"20,000",1.80,36000.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,shoe string bags,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,2020-04-21,each,"1,000",25.50,25500.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,COVERALLS L,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,2020-04-21,each,250,300.11,75027.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,COVERALLS XL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,2020-04-21,each,250,300.11,75027.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,COVERALLS XXL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,2020-04-21,each,250,300.11,75027.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,COVERALLS XXXL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,2020-04-21,each,250,300.11,75027.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,APRON PLASTIC FULL BODY SINGLE USE,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,2020-04-21,each,100,170.00,17000.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,EYE PROTECTION GOGLES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,2020-04-21,each,600,89400.00,89400.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,VISOR DISPOSABLE,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,2020-04-21,each,500,37500.00,37500.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,GOWNS ISOLATION,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,2020-04-21,each,"2,000",128500.00,128500.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,SURGICAL MASKS,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,2020-04-21,box,100,511.00,511100.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,N95 MASKS,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,2020-04-21,box,100,2986.50,298650.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,KN95 MASK,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,2020-04-21,box,500,413.00,206800.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,EXAMINATION GLOVES023,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,2020-04-21,box,50,278.00,139900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,EXAMINATION GLOVES024,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,2020-04-21,box,50,278.00,139900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,EXAMINATION GLOVES025,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,2020-04-21,box,50,278.00,139900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Gloves surgical  (each),IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Gloves surgical  (each),IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,2020-04-21,box,50,138.00,6900.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,BP CUFF,STAT TAKEN MEDICAL,,RT4-2017,GDM472,05/04/2020,2020-04-05,each,6,902.85,5417.10
Department of Correctional Services (DCS),Free State,GOEDEMOED,SUNCTION UNIT MOBILE,ECOMED MEDICAL,2016/084766/07,RT 2-2016,GDM474,05/04/2020,2020-04-05,each,2,5266.48,10532.96
Department of Correctional Services (DCS),Free State,GOEDEMOED,PULSE OXIMETER,ECOMED MEDICAL,2016/084766/07,RT2-2016,GDM1012,05/07/2020,2020-07-05,each,4,10112.18,40448.72
Department of Correctional Services (DCS),Free State,GOEDEMOED,AMBUBAG,ECOMED MEDICAL,2016/084766/07,RT4-2017,GDM1015,05/07/2020,2020-07-05,EACH,2,321.80,643.60
Department of Correctional Services (DCS),Free State,GOEDEMOED,LARYNGOSCOPE,UNICORE HOLDINGS,2011/000574/07,RT4-2017,GDM1013,2020.05.07,2020-05-07,EACH,2,1682.87,3365.74
Department of Correctional Services (DCS),Free State,GOEDEMOED,Mask Dust,Lechoba Medical Technology,2005/044442/07,COVID19,GDM014505,2020.06.29,2020-06-29,Box,"5,000",18.75,93750.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Coverall Small,ARC Technologies,2017/162066/07,COVID19,GDM014506,2020.06.29,2020-06-29,EACH,194,575.00,111550.00
Department of Correctional Services (DCS),Free State,GOEDEMOED,Coverall,ALFREHUTCH TRADING,2008/130764/23,COVID19,GDM440,2020.03.20,2020-03-20,each,"2,000",89.76,179520.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,MASK SURGICAL,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005037,"2020,03.21",2020-03-21,EACH,"1,500",26.65,39975.00
