buyer_name,implementation_location_other,items_description,supplier_name,comapny_registration_number,procurement_method,UNIT OF MEASURE,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Durban,Surgical masks,Quality Medical,2015/019742/07,RTCOVID19,each,"F-431726 (DB-
014008)",3/20/2020,25000,10.35,258750.00
Department of Correctional Services (DCS),Durban,Surgical masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431406  (DB-
014004)",3/28/2020,10000,27.00,270000.00
Department of Correctional Services (DCS),Durban,Surgical masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431428 (DB-
014040)",04/09/2020,10000,27.00,270000.00
Department of Correctional Services (DCS),Durban,Surgical masks,Multisurge,2014/170364/07,RTCOVID19,each,DB-014064,4/30/2020,20000,9.20,184000.00
Department of Correctional Services (DCS),Durban,N95 masks,Lechoba Medical,2005/044442/07,RTCOVID19,each,"F-431748 (DB-
014009)",3/26/2020,17500,18.75,328125.00
Department of Correctional Services (DCS),Durban,N95 masks,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431406  (DB-
014004)",3/28/2020,175,135.00,23625.00
Department of Correctional Services (DCS),Durban,Disposable Gown (isolation),Logan Medical & Surgical Sundries,2012/056508/07,RTCOVID19,each,DB-013968,3/20/2020,1000,40.25,40250.00
Department of Correctional Services (DCS),Durban,Protective Cover Bodysuits Disposable,Alfrehutch Trading,2008/130764/23,RTCOVID19,each,"F-431741 (DB-
014158)",3/22/2020,500,89.76,44880.00
Department of Correctional Services (DCS),Durban,Full face shield (Protective goggles ),Lechoba Medical,2005/044442/07,RTCOVID19,each,"F-431749 (DB-
014025)",3/26/2020,600,65.90,39540.00
Department of Correctional Services (DCS),Durban,Disposable aprons,Central Medical,1995/003785/07,RT 32-2019,each,DB-013966,3/19/2020,40000,0.32,12800.00
Department of Correctional Services (DCS),Durban,Disposable scrub suit,Gibela Trade & Invest 1001,2004/117191/23,RT 32-2019,each,DB-013969,3/21/2020,200,17.19,3438.00
Department of Correctional Services (DCS),Durban,Non Sterile Gloves  (Med / Large),Evergreen Latex,2002/057771/23,RT 76-2020,pair,DB-013967,3/20/2020,1500 x 50's,49.86,74790.00
Department of Correctional Services (DCS),Durban,Non Sterile Gloves (Latex)  (S / M / L),Flawless Enterprise,2015/431254/07,Quotation,pair,"F-431407 (DB-
014003)",3/30/2020,"6000                   4500
7500",1.50,18000.00
Department of Correctional Services (DCS),Durban,Temperature Scanner,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431409 (DB-
014026)",3/31/2020,60,1743.50,104610.90
Department of Correctional Services (DCS),Durban,Temperature Scanner,Flawless Enterprise,2015/431254/07,Quotation,each,"F-431431 (DB-
014027)",4/15/2020,5,2520.00,12600.00
