implementation_location_province,buyer_name,order_number,items_description,Contract/Quotation,supplier_name,order_amount_zar,items_quantity,"Date
Commitment
letter issued",award_date,"DELIVERY
PERIOD
MIN (DAYS)","DELIVERY
PERIOD
MAX
(DAYS)","Date for
delivery MIN","Date for
delivery MAX","Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,"RT300-2017, HH042660","SUPPLY AND DELIVERY OF PHARMACEUTICAL LIQUID, ALCOHOL,",RT300-2017,BARRS PHARMACEUTICALS,2371200.00,96000,15-May-20,2020-05-15,,,,,HH042660,To be effected,delivered
Free State,Free State Department of Health,"DOH(FS)14/16/17, HH042661",SUPPLY OF DISINFECTANTS CIDEX,DOH(FS)14/16/17,FS AND NCP,3283200.00,96000,15-May-20,2020-05-15,,,,,HH042661,Not done,Arrangement is made that 600 quantity delivere
Free State,Free State Department of Health,"DOH(FS)17/17/18, HH042663",SUPPLY AND DELIVERY OF BODY BAGS,DOH(FS)17/17/18,Zaahir Concept Design and Projects,266660.00,9500,15-May-20,2020-05-15,,,,,HH042663,Not done,Partial deliveries done for the last past 3 weeks.
Free State,Free State Department of Health,"Q003/20/COVID19, HH042689",SUPPLY AND DELIVERY OF VISORS,Q003/20/COVID19,C-SQUARED CONSUMER,3478640.00,44000,1-Jun-20,2020-06-01,,,,,HH042689,To be effected,delivered
Free State,Free State Department of Health,"Q004/20/COVID19, HH042687",SUPPLY AND DELIVERY OF INFRARED THERMOMETER,Q004/20/COVID19,C-SQUARED CONSUMER,412450.38,250,1-May-20,2020-05-01,,,,,HH042687,To be effected,delivered
Free State,Free State Department of Health,Cancelled: Provincial Treasury to provide the item.,SUPPLY AND DELIVERY OF BIOHAZARD BAGS,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,,,,,,,,,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.
Free State,Free State Department of Health,Cancelled: Provincial Treasury to provide the item.,SUPPLY AND DELIVERY OF COVERALLS,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,,,,,,,,,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.
Free State,Free State Department of Health,"Q008/20/COVID19, HH-042849",SUPPLY AND DELIVERY OF SURGICAL GLOVES,Q008/20/COVID19,Godinako,3600200.00,15320,23-Jun-20,2020-06-23,,,,,HH-042849,Not done,"Godinalo delivery completed. Thato ya Lesedi
and Xhibitit delivery to be completed on the
4th August."
Free State,Free State Department of Health,"Q008/20/COVID19, HH-042849",SUPPLY AND DELIVERY OF SURGICAL GLOVES,Q008/20/COVID19,Thato ya Lesedi,2929243.75,9805,23-Jun-20,2020-06-23,,,,,HH-042849,Not done,"Godinalo delivery completed. Thato ya Lesedi
and Xhibitit delivery to be completed on the
4th August."
Free State,Free State Department of Health,"Q008/20/COVID19, HH-042849",SUPPLY AND DELIVERY OF SURGICAL GLOVES,Q008/20/COVID19,Xhibitit,1966097.50,5515,23-Jun-20,2020-06-23,,,,,HH-042849,Not done,"Godinalo delivery completed. Thato ya Lesedi
and Xhibitit delivery to be completed on the
4th August."
