No,DEPT/ENTITY,CSD NO,SUPPLIER NAME,CO REG NUM,ITEM CATEGORY,ITEM DESCRIPTION,QNT,UNIT PRICE,TOTAL PRICE,TOTAL VAL RECALC,SYS ORDER NO,SYS INVOICE No,"SYS INVOICE
AMOUNT","SYS INVOICE
DATE","SYS INVOICE
RECEIPT DATE","SYS
PAYMENT
DATE","SYS
PAYMENT No","SYS
DISPURSE NO","SYS PAYMENT
AMOUNT","PAYMENT
PERIOD",PAY VAR,STATUS,"COMMITMENT
OUTSTANDING",ORDERS CLOSED,,,
1,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1,R 4535.60,"R4,535.60",#VALUE!,HO-004470,PIETRIN0045281,"R4,535.60",5/14/2020,5/26/2020,5/26/2020,2468791,1148452,"R4,535.60",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
2,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand liquid pink 5l,50,R 80.00,"R4,600.00",#VALUE!,HO-004447,PIETRIN0044679,"R4,600.00",4/16/2020,4/22/2020,4/23/2020,2467687,1147737,"R4,600.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
3,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand soap 5l,200,R 80.00,"R18,400.00",#VALUE!,HO-004451,298003,"R18,400.00",4/16/2020,4/22/2020,4/23/2020,2467683,1147737,"R18,400.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
4,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Sanitiser,Hand sanitizer 5l,40,R552.00,"R22,080.00","R22,080.00",HO-004447,PIETRIN0044679,"R22,080.00",4/16/2020,4/22/2020,4/23/2020,2467687,1147737,"R22,080.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
5,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1,"R36,859.98","R36,859.98","R36,859.98",HO-004470,PIETRIN0045281,"R36,859.98",5/14/2020,5/26/2020,5/26/2020,2468791,1148452,"R36,859.98",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
6,AGRICULTURE,MAAA0085880,Crispy Multi Project,2004/083654/23,Cleaning,Two Piece Work suits,500,R 356.00,"R178,000.00",#VALUE!,HO-004450,CMP00049,"R178,000.00",4/20/2020,4/22/2020,4/23/2020,2467684,1147699,"R178,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
7,AGRICULTURE,MAAA0080910,Evergreen Latex cc,2002/057771/23,Gloves,Surgical Latex gloves,200,R 148.00,"R29,600.00",#VALUE!,HO-004446,54220,"R29,600.00",4/22/2020,4/22/2020,4/23/2020,2467688,1147784,"R29,600.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
8,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Goggles - Safety,Goggles Safety,200,R 69.50,"R13,900.00",#VALUE!,HO-004448,IN100012,"R13,900.00",5/14/2020,5/25/2020,5/26/2020,2468742,1148479,"R13,900.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
9,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Sanitiser,500ml hand sanitizer gel,4,R 52.83,"R243,000.00",#VALUE!,HO-004442,201802782,"R243,000.00",4/14/2020,4/15/2020,4/23/2020,2467694,1147780,"R243,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
10,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Cleaning,"Disinfectant, Hand, Surface,
sanitizers",20,R 60.75,"R1,215,000.00",#VALUE!,HO-004448,IN100012,"R1,215,000.00",5/14/2020,5/25/2020,5/26/2020,2468742,1148479,"R1,215,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
11,AGRICULTURE,MAAA0034212,Msarikeng General Supply,2006/059494/23,Masks - Non Surgical,Cleaning industrial dust masks,"14,4",R 6.00,"R86,400.00",#VALUE!,HO-004457,MGS-201823,"R86,400.00",4/22/2020,4/22/2020,4/23/2020,2467680,1147700,"R86,400.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
12,AGRICULTURE,MAAA0216602,Ponontle Consulting,2009/119342/23,Masks - Non Surgical,Surgical  masks,46,R18.75,"R862,500.00","R862,500.00",HO-004471,SURGMASK012,"R862,500.00",5/26/2020,5/26/2020,5/26/2020,2468793,1148485,"R862,500.00",2020/06,R0.00,CLOSED,,R0.00,,,
13,AGRICULTURE,MAAA0352514,Promed Technologies,2014/162486/07,Cleaning,"Disinfectant,Surface: Sterwise
RT 2","1,5",R 90.00,"R135,000.00",#VALUE!,HO-004445,I N 103816,"R135,000.00",5/22/2020,5/25/2020,5/25/2020,2468753,1148480,"R135,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
14,AGRICULTURE,"MAAA0350093
MAAA0350093
MAAA0350093",Regid Printers,2010/119314/23,Gloves,Gloves cleaner rubber,100,R 70.00,"R7,000.00",#VALUE!,HO-004452,RIG-9984669,"R7,000.00",4/17/2020,4/22/2020,4/23/2020,2467686,1147701,"R7,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
15,AGRICULTURE,Regid Printers,2010/119314/23,Cleaning,Two Piece work suits,159,R 250.00,"R39,750.00",#VALUE!,HO-004452,RIG-9984669,"R39,750.00",4/17/2020,4/22/2020,4/23/2020,2467686,1147701,"R39,750.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,,
16,AGRICULTURE,Regid Printers,2010/119314/23,Cleaning,Boots Leather,155,R350.00,"R54,250.00",#VALUE!,HO-004452,RIG-9984669,"R54,250.00",4/17/2020,4/22/2020,4/23/2020,2467686,1147701,"R54,250.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,,
17,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Gloves,examination hand gloves,5,R0.98,"R4,900.00","R4,900.00",OR-005124,175-2020,"R4,900.00",6/24/2020,6/24/2020,6/24/2020,2454739,1129177,"R4,900.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
18,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Sanitiser,sanitizers,80,"R4,950.00","R396,000.00","R396,000.00",OR-005124,175-2020,"R396,000.00",6/24/2020,6/24/2020,6/24/2020,2454739,1129177,"R396,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
19,COGHSTA,MAAA0486753,Mogau Medical Supplies,2017/303774/07,Building - Disinfecting,"Disinfection/ decontamination
of buildings","41,918",R9.10,"R381,453.80","R381,453.80",OR-005119,M  OG28,"R381,453.80",6/2/2020,6/3/2020,6/9/2020,2454506,1129011,"R381,453.80",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
20,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Cleaning,Bar soaps,2,R19.00,"R38,000.00","R38,000.00",OR-005122,220,"R38,000.00",6/22/2020,6/23/2020,6/24/2020,2454727,1129176,"R38,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
21,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Digital Themormetres,Themometers,20,"R2,779.00","R55,580.00","R55,580.00",OR-005122,220,"R55,580.00",6/22/2020,6/23/2020,6/24/2020,2454727,1129176,"R55,580.00",2020/06,R0.00,CLOSED,R0.00,R0.00,,,
