Date,"Purchasing
document",Short Text,Supplier,PO value,"Purchase Order
Quantity","Purchase order
release date",Delivery Date,Comments,
23.03.2020,4550265097,"Sanitizer alcohol actigerm
500ml spray",LECHOBA MEDICAL TECHNOLOGIES,"R85,285.20","1,560 EA",23.03.2020,31.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
20.03.2020,4550265101,Mask face surgical,TRIPPLE N MEDICAL DISTRIBUTORS,"R171,864.00",13 200 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
20.03.2020,4550265120,Gloves surgical,MEDI-CORE TECHNOLOGIES,"R8,566.94",179 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
20.03.2020,4550265139,Masks Face Surgical,LECHOBA MEDICAL TECHNOLOGIES,"R168,750.00",9000 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
20.03.2020,4550265139,Sanitizer 70% alcohol 1lt,LECHOBA MEDICAL TECHNOLOGIES,"R36,450.00",300 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
24.03.2020,4550265231,Apron Plastic,LECHOBA MEDICAL TECHNOLOGIES,R64.00,200 EA,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
24.03.2020,4550265231,Thermometer,LECHOBA MEDICAL TECHNOLOGIES,"R1,945.00",5 EA,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
25.03.2020,4550265232,Mask face surgical,MULTISURGE,R920.00,2 box,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
25.03.2020,4550265235,Mask Face Surgical,LECHOBA MEDICAL TECHNOLOGIES,"R2,812.50",150 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
25.03.2020,4550265235,Sanitizer 70% alcohol 1lt,LECHOBA MEDICAL TECHNOLOGIES,"R18,225.00",150 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
25.03.2020,4550265245,Thermometer,TARA TECHNOLOGIES,"R3,750.00",30 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
24.03.2020,4550265258,Gloves,MEDI-CORE TECHNOLOGIES,"R31,790.00",200 boxes,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
26.03.2020,4550265259,Mask face surgical,TRIPPLE N MEDICAL DISTRIBUTORS,"R2,604.00",200 PAC,26.03.2020,27.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
26.03.2020,4550265260,"Sanitizer alcohol actigerm
500ml spray",LECHOBA MEDICAL TECHNOLOGIES,"R36,450.00",300 EA,26.03.2020,27.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
24.03.2020,4550265264,Gloves,MEDI-CORE TECHNOLOGIES,"R1,047.06",21 boxes,24.03.2020,24.03.2020,"Procured from the National Treasury	
Transversal	
contracts according	
to prices on	
Annexure A Table 1	
and 2",
27.03.2020,4550265267,Gloves,EVERGREEN LATEX,"R2,970.48",6 Boxes,27.03.2020,27.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
31.03.2020,4550265268,Gloves nitrile powder/latex free medium,EVERGREEN LATEX,R498.60,10 BOX,31.0.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
30.03.2020,4550265270,Mask face surgical,LECHOBA MEDICAL TECHNOLOGIES,"R3,750.00",200 EA,30.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
30.03.2020,4550265270,Sanitizer alcohol actigerm 1LT spray,LECHOBA MEDICAL TECHNOLOGIES,"R30,375.00",250 EA,30.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2", 
26.03.2020,4550265271,Goggles,LECHOBA MEDICAL TECHNOLOGIES,R659.00,10 EA,26.03.2020,26.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
31.03.2020,4550265277,Mask face surgical,LECHOBA MEDICAL TECHNOLOGIES,"R93,750.00","5,000 PAC",31.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
31.03.2020,4550265278,Sanitizer alcohol actigerm 500ml spray,LECHOBA MEDICAL TECHNOLOGIES,"R299,983.50","4,938 EA",31.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
27.03.2020,4550265282,Gown surgical,LECHOBA MEDICAL TECHNOLOGIES,R599.50,10 EA,27.03.2020,27.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
26.03.2020,4550265283,Goggles,LECHOBA MEDICAL TECHNOLOGIES,"R3,795.00",10 EA,26.03.2020,26.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
07.05.2020,4550265601,Face Shield,LECHOBA MEDICAL TECHNOLOGIES,"R138,000.00",2000 EA,07.05.2020,07.05.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
22.07.2020,4550266653,Thermometer body/forehead non contact,MULTISURGE,"R52,440.00",,22.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
23.07.2020,4550266663,Mask half particulate filtering large,MULTISURGE,"R92,000.00",,23.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
23.07.2020,4550266664,Thermometer body/forehead non contact,MULTISURGE,"R34,500.00",,23.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
