NO,SUPPLIER,Item Description,Unit Price,Total Amount,APPOINTMENT DATE,PROCUREMENT PROCESS
1,"Olwe2 Project Management
Consultancy",Gloves (8000),R 2.52,,18/03/2020,"Normal Procurement Process (At least three quotations were received) 
Since procured items were estimated and did not exceed R 500 000.00, the normal procurement process was followed. Three quotations were requested and obtained from three supplier and they were evaluated according to 80/20 preferential point system. The procurement process followed is in line with paragraph 3.3.1 of National Treasury Instruction Note 8 of 2007/08 “Accounting officer/Accounting Authority should invite and accept written price quotations for requirements up to an estimated value of R 500 000.00 from as many suppliers as possible, that are registered on the list of prospective suppliers.” "
1,"Olwe2 Project Management
Consultancy",1L Hand Sanitizer (1000),R 74.20,,18/03/2020,"Normal Procurement Process (At least three quotations were received) 
Since procured items were estimated and did not exceed R 500 000.00, the normal procurement process was followed. Three quotations were requested and obtained from three supplier and they were evaluated according to 80/20 preferential point system. The procurement process followed is in line with paragraph 3.3.1 of National Treasury Instruction Note 8 of 2007/08 “Accounting officer/Accounting Authority should invite and accept written price quotations for requirements up to an estimated value of R 500 000.00 from as many suppliers as possible, that are registered on the list of prospective suppliers.” "
1,"Olwe2 Project Management
Consultancy",25L Disinfector (10),R 4032.09,,18/03/2020,"Normal Procurement Process (At least three quotations were received) 
Since procured items were estimated and did not exceed R 500 000.00, the normal procurement process was followed. Three quotations were requested and obtained from three supplier and they were evaluated according to 80/20 preferential point system. The procurement process followed is in line with paragraph 3.3.1 of National Treasury Instruction Note 8 of 2007/08 “Accounting officer/Accounting Authority should invite and accept written price quotations for requirements up to an estimated value of R 500 000.00 from as many suppliers as possible, that are registered on the list of prospective suppliers.” "
1,"Olwe2 Project Management
Consultancy",Surgical Masks (10 000),R 30.00,,18/03/2020,"Normal Procurement Process (At least three quotations were received) 
Since procured items were estimated and did not exceed R 500 000.00, the normal procurement process was followed. Three quotations were requested and obtained from three supplier and they were evaluated according to 80/20 preferential point system. The procurement process followed is in line with paragraph 3.3.1 of National Treasury Instruction Note 8 of 2007/08 “Accounting officer/Accounting Authority should invite and accept written price quotations for requirements up to an estimated value of R 500 000.00 from as many suppliers as possible, that are registered on the list of prospective suppliers.” "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Protective Safety Goggles (200),R 56.43,,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD","Non-ContactInfraredThermometer
(27)","R 1,348.99",,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",500ml Hand Sanitizer       (2 516),R 52.83,,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD","Respiratory Reusable Cloth Mask (10
250)",R 47.83,,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Promax Disposable Overalls (60),R 312.17,,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Visor- Full Face Shield (160),R 43.26,,20/03/2020,"Appointed a service provider from National Treasury Transversal contract 
On the 19/03/2020 National Treasury Issued an Instruction Note No. 8 of 2019/20 which instructed Accounting Officers and Accounting Authorities to utilise suppliers accredited under the transversal contract when procuring PPE. Due to daily increasing demand of PPEs, the department placed an order with (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) who is accredited under the National Treasury transversal contract. This procurement is in line with National Treasury instruction note No 8 of 2019/20. "
3,Nomnombo Trading and Projects,Protective surgical masks (30 000),R 15.00,,29/03/2020,"Deviation (Emergency Procurement) 
The Department had appointed a service provider under the National Treasury Transversal contract (LECHOBA MEDICAL TECHNOLOGIES (PTY) LTD) on 
th the 20 March 2020 to deliver PPE to the 
department. The service provider failed to deliver on the promised date and they indicated that there was a delay from their supplier, this delay put the department in a compromising position as its employees Traffic Officers and Volunteers (Patrollers) were exposed to contract the virus and their lives were in danger and this had forced the Department to follow the process of emergency procurement to ensure that necessary PPEs are provided. 
Due to the risk of Traffic Officers and Patrollers being contaminated with the virus an immediate action was required, the department decided to deviate from the normal process of getting three quotation and follow emergency procurement process, which is in line with Treasury Regulations 16A6.4 “If in a specific case it is impractical to invite comparative bids, the Accounting Officer/Accounting Authority may procure the required goods or service by other means, provided that the reasons for deviating from inviting competitive bids must be recorded and approved by the Accounting Officer / Accounting Authority”. 
This deviation is in line with National Treasury Instruction Note number 3 of 2016/17 paragraph 8.1 which states that “the Accounting Officer / Accounting Authority must only deviate from inviting comparative bids in cases of emergency and sole supplier status”. Paragraph 8.2 of the same Instruction note define emergency procurement as “An Emergency procurement may occur when there is a serious and unexpected situation that poses an immediate risk to health, life, property or environment which calls an urgency to action and there is insufficient time to call for competitive bids”. "
4,FARANANI IT SERVICES ,Provision of Project management and payment services for community patrollers in the Gauteng Province,10000,,,"Expansion of an existing order 
Following the announcement of state disaster lockdown by the President of the Republic of South  Africa on the 23 of March 2020, the Department of Community Safety was tasked by the Gauteng Provincial Cabinet to deploy patrollers to communities to ensure enforcement of lockdown regulations. 
It is due to this deployment of patrollers that the department request an approval to expand the order with an amount of R 10 000 000.00 during the lockdown period (depending on when the lockdown will come to an end). This expansion exceed the prescribed percentage of 15% or R 15 000 000.00 as prescribed in paragraph 9.1 of National treasury Instruction Note number 3 of 2016/17 which state that 
“The Accounting Officer/Accounting Authority must ensure that contracts are not varied by more than 20% or R20 000 000.00 (Including Vat) for construction related goods, works or services and 15% or R15 000 000.00 (Including Vat) for all other goods and or services of the contract value”. 
National Treasury issued Instruction Note number 8 of 2019/20 on 19/03/2020, and Paragraph 3.5.1. (ii) of the said instruction note state that “ In terms of paragraph 9.2 of the National Treasury Instruction SCM No. 3 of 2016/17, Accounting Officer/Accounting Authority may expand contract for goods up to 15% or R 15 Million. For expansion in excess, the relevant Treasury must approve. For the purpose of this instruction, the requirement of paragraph 9.2 of the said instruction is waved for procurement of items related to COVIT-19” 
It is due to the above said Instruction Note that department request Accounting Officer to approve expansion of the order for payment of patrollers by a percentage that exceed 15%. "
